"{{c1::El, La}} diccionario tenía también frases útiles.","el, la","{{c1::el, la}}",1,the dictionary also had useful phrases
Es {{c1::de}} un amigo mío.,de,{{c1::de}},2,he is the son of a friend of mine
Dice {{c1::que}} no quiere estudiar.,que,{{c1::que}},3,he says that he doesn’t want to study
Saben leer {{c1::y}} escribir.,y,{{c1::y}},4,they know how to read and write
Vivo {{c1::en}} el segundo piso.,en,{{c1::en}},5,I live on the second floor
